EMIS_Code,School_Name,District,Tehsil,Area_Used,OSM_Type,OSM_ID,OSM_Name,OSM_Latitude,OSM_Longitude,OSM_URL,Distance_km,Distance_Reference,Similarity_Score,Token_Jaccard,Token_Containment,String_Ratio,Confidence_Tier,Reviewer_Decision,Status
31320695,GGPS BASTI RAEES USMAN,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,7244237289,GCT - TEVTA Rahim Yar Khan,28.424751,70.256403,https://www.openstreetmap.org/node/7244237289,66.5,tehsil sibling median (3 schools),0.341,0.0,0.0,0.341,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31320695,GGPS BASTI RAEES USMAN,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,5502032222,Government Primary School Yaran Khan Chandiya,28.633285,70.209572,https://www.openstreetmap.org/node/5502032222,61.3,tehsil sibling median (3 schools),0.333,0.0,0.0,0.333,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31320695,GGPS BASTI RAEES USMAN,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,760494993,BeaconHouse School Systems,28.379809,70.335721,https://www.openstreetmap.org/way/760494993,63.5,tehsil sibling median (3 schools),0.333,0.0,0.0,0.333,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31320695,GGPS BASTI RAEES USMAN,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,770436888,Army Public School & College,28.409082,70.318077,https://www.openstreetmap.org/way/770436888,62.7,tehsil sibling median (3 schools),0.276,0.0,0.0,0.276,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31320695,GGPS BASTI RAEES USMAN,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291259222,(unnamed amenity=school POI),28.771607,70.81356,https://www.openstreetmap.org/way/1291259222,1.5,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31320695,GGPS BASTI RAEES USMAN,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291250874,(unnamed amenity=school POI),28.875024,70.456399,https://www.openstreetmap.org/way/1291250874,37.8,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31320695,GGPS BASTI RAEES USMAN,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,327889680,(unnamed amenity=school POI),28.424511,70.317029,https://www.openstreetmap.org/way/327889680,61.7,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,4520352290,Chak 99/P,28.445519,70.383089,https://www.openstreetmap.org/node/4520352290,55.2,tehsil sibling median (3 schools),0.25,0.0,0.0,0.25,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,6357932085,Dare Arqam,29.233051,71.06374,https://www.openstreetmap.org/node/6357932085,57.7,tehsil sibling median (3 schools),0.235,0.0,0.0,0.235,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,7244237289,GCT - TEVTA Rahim Yar Khan,28.424751,70.256403,https://www.openstreetmap.org/node/7244237289,66.5,tehsil sibling median (3 schools),0.194,0.0,0.0,0.194,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1321653766,Tameer e Milat,28.298155,70.129898,https://www.openstreetmap.org/way/1321653766,84.8,tehsil sibling median (3 schools),0.19,0.0,0.0,0.19,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,840895942,Govt Boys Lower Secondary School Malook Wali,28.134679,69.536804,https://www.openstreetmap.org/way/840895942,143.5,tehsil sibling median (3 schools),0.167,0.0,0.0,0.167,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,5502032222,Government Primary School Yaran Khan Chandiya,28.633285,70.209572,https://www.openstreetmap.org/node/5502032222,61.3,tehsil sibling median (3 schools),0.154,0.0,0.0,0.154,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291259222,(unnamed amenity=school POI),28.771607,70.81356,https://www.openstreetmap.org/way/1291259222,1.5,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291250874,(unnamed amenity=school POI),28.875024,70.456399,https://www.openstreetmap.org/way/1291250874,37.8,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,327889680,(unnamed amenity=school POI),28.424511,70.317029,https://www.openstreetmap.org/way/327889680,61.7,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
