Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Fill_Rate_Percent,Total_Enrolled,Total_Present,Attendance_Rate_Percent,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Teacher_Presence_Rate_Percent,Teacher_Absence_Rate_Percent,Student_Absence_Rate_Percent,Functional_Toilet_Rate_Percent,Boundary_Wall_Indicator,Electricity_Indicator,Drinking_Water_Indicator,Government_Monitoring_Risk_Score,Audit_Priority,Derived_Features_Source
Real,34140170,GPS GHARRI,GUJRANWALA,NOSHERA VIRKAN,Primary,Open,No,13,9,8,1,69.2,324,272,84.0,6,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,17-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4162634,88.89,11.11,16.0,83.33,1.0,1,1,7.3,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,34220737,GPS BUGHNA,GUJRAT,KHARIAN,Primary,Open,No,4,2,2,0,50.0,84,78,92.9,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,09-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4153720,100.0,0.0,7.1,100.0,1.0,1,1,1.18,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,39310993,GHS NO.1 BASIR PUR MAIN ROAD,OKARA,DEPALPUR,High,Open,No,38,35,33,2,92.1,1414,1201,84.9,14,12,No,Yes-Wholly,Yes-Wholly,Good,Boundary wall not available; 2 toilets nonfunctional,14-10-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3800928,94.29,5.71,15.1,85.71,0.0,1,1,22.52,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,32330082,GGHS BHUTTA PUR,MUZAFFARGARH,MUZAFFARGARH,High,Open,No,18,18,17,1,100.0,570,405,71.1,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,05-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3856564,94.44,5.56,28.9,100.0,1.0,1,1,5.74,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,37340007,GHS USMAN KHATTAR,RAWALPINDI,TAXILA,High,Open,No,18,14,13,1,77.8,330,310,93.9,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,10-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3861357,92.86,7.14,6.1,100.0,1.0,1,1,2.21,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,37330123,GHS MC AMAR PURA RAWALPINDI,RAWALPINDI,RAWALPINDI,High,Open,No,16,14,14,0,87.5,457,402,88.0,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,3 classrooms used as DO(MC) office; shares building/washrooms with another school (GGES Husainabad); washrooms lacking for children,13-10-2015,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/655192,100.0,0.0,12.0,100.0,1.0,1,1,2.0,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33221148,GMPS CHAK NO 166 JB DOKA,JHANG,JHANG,Primary,Open,No,4,2,2,0,50.0,101,56,55.4,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,20-01-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4168660,100.0,0.0,44.6,100.0,1.0,1,1,7.43,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33310079,GGHS CHAK 159 GB,T.T.SINGH,GOJRA,High,Open,No,14,13,12,1,92.9,450,389,86.4,10,10,Yes-Partially,Yes-Wholly,Yes-Wholly,Good,,21-02-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3665301,92.31,7.69,13.6,100.0,,1,1,3.55,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,39310174,GGES AMLI MOTI,OKARA,DEPALPUR,Middle,Open,No,14,12,12,0,85.7,285,174,61.1,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,08-04-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3982965,100.0,0.0,38.9,100.0,1.0,1,1,6.48,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,34220780,GGHS NAWAZ SHARIF LALA MUSA,GUJRAT,KHARIAN,High,Open,No,8,6,6,0,75.0,368,294,79.9,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,04-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3854424,100.0,0.0,20.1,100.0,1.0,1,1,3.35,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
