EMIS_Code,Latitude,Longitude
35210186,31.4464595,74.3916586
35210168,31.5870311,74.3821182
35220155,31.2443583,74.2138126
37150049,33.8150627,72.7030379
34110639,32.1765842,74.1872621
37230021,33.132055,73.4180866
31240061,29.3483637,71.6954115
33120361,31.3330181,73.4183387
33130237,31.4103462,73.0936494
38420087,32.0836514,72.676461
36420071,30.3022528,71.9278916
39330014,30.8782508,73.5998771
31260240,,
34140170,31.96734,73.96987
34220737,32.8100237,73.8663245
39310993,30.6691771,73.6513733
32330082,30.084183,71.1939667
37340007,33.7422793,72.8145203
37330123,33.6040754,73.0483807
33221148,31.2777606,72.3213727
33310079,,
39310174,30.6691771,73.6513733
34220780,32.8100237,73.8663245
33110019,31.386296,73.0676444
33110371,31.386296,73.0676444
33150025,,
33140544,31.3711401,73.0706582
33120254,31.3330181,73.4183387
33160266,,
33130129,31.4103462,73.0936494
35210591,31.5870311,74.3821182
35220159,31.2443583,74.2138126
35210798,31.5870311,74.3821182
35210011,31.4729999,74.3108542
35210049,31.5221005,74.3790353
35220493,31.5831841,74.3184836
35210020,31.5221005,74.3790353
36430098,30.4389367,72.3550547
37330556,33.6040754,73.0483807
35220032,31.5831841,74.3184836
35220064,31.5831841,74.3184836
37330117,33.6040754,73.0483807
99990001,,
99990002,,
99990003,,
99990004,,
99990005,,
99990006,,
99990007,,
31321032,,
31321033,,
31321034,28.855686,71.016265
32110565,,
32320949,,
35110333,30.9631954,73.9807183
39311057,30.6691771,73.6513733
32330691,30.084183,71.1939667
37130118,33.2437103,72.2686198
34320074,32.4846576,74.5442398
36130239,,
33110354,31.386296,73.0676444
37330149,33.6040754,73.0483807
35210693,31.4729999,74.3108542
39220030,30.2944504,73.0589418
31321031,,
33140395,31.3711401,73.0706582
32110836,,
32410223,29.6384224,70.5772492
37320082,33.9056829,73.392674
31150222,30.0061639,73.2661567
32330665,30.084183,71.1939667
37360182,33.2590018,73.3076163
37350011,33.8058076,73.5237431
37350153,33.8058076,73.5237431
34120519,32.0346163,74.3438688
37350096,33.8058076,73.5237431
32120005,,
31320001,28.760002,70.820985
32120041,30.550891,70.595535
35210039,31.5870311,74.3821182
39330054,30.8782508,73.5998771
35220054,31.5831841,74.3184836
31240443,29.3483637,71.6954115
32340004,29.5105224,70.8459377
32110043,,
37320274,33.9056829,73.392674
32420001,29.1002542,70.3378699
