Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL
Real (PMIU Visit),39310993,GHS NO.1 BASIR PUR MAIN ROAD,OKARA,DEPALPUR,High,Open,No,38,35,33,2,1414,1201,14,12,No,Yes-Wholly,Yes-Wholly,Good,Boundary wall not available; 2 toilets nonfunctional,14-10-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3800928
Real (PMIU Visit),32330082,GGHS BHUTTA PUR,MUZAFFARGARH,MUZAFFARGARH,High,Open,No,18,18,17,1,570,405,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,05-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3856564
Real (PMIU Visit),37340007,GHS USMAN KHATTAR,RAWALPINDI,TAXILA,High,Open,No,18,14,13,1,330,310,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,10-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3861357
Real (PMIU Visit),37330123,GHS MC AMAR PURA RAWALPINDI,RAWALPINDI,RAWALPINDI,High,Open,No,16,14,14,0,457,402,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,3 classrooms used as DO(MC) office; shares building/washrooms with another school (GGES Husainabad); washrooms lacking for children,13-10-2015,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/655192
Real (PMIU Visit),33221148,GMPS CHAK NO 166 JB DOKA,JHANG,JHANG,Primary,Open,No,4,2,2,0,101,56,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,20-01-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4168660
Real (PMIU Visit),33310079,GGHS CHAK 159 GB,T.T.SINGH,GOJRA,High,Open,No,14,13,12,1,450,389,10,10,Yes-Partially,Yes-Wholly,Yes-Wholly,Good,,21-02-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3665301
Real (PMIU Visit),39310174,GGES AMLI MOTI,OKARA,DEPALPUR,Middle,Open,No,14,12,12,0,285,174,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,08-04-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3982965
Real (PMIU Visit),34220780,GGHS NAWAZ SHARIF LALA MUSA,GUJRAT,KHARIAN,High,Open,No,8,6,6,0,368,294,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,04-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3854424
Real (PMIU Visit),33110019,GPS CHAK 214 RB E,FAISALABAD,FAISALABAD CITY,Primary,Open,No,9,8,5,3,290,269,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,12-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4196641
Real (PMIU Visit),33110371,GGHS MC PEOPLES COLONY FAISALABAD,FAISALABAD,FAISALABAD CITY,High,Open,No,37,28,26,2,763,633,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,05-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4237333
Real (PMIU Visit),33150025,GPS 141 RB II,FAISALABAD,CHAK JHUMARA,Primary,Open,No,8,8,3,1,214,191,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,27-04-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4300887/list/
Real (PMIU Visit),33140544,GHSS 209/RB,FAISALABAD,FAISALABAD SADDAR,H.Sec.,Open,No,49,27,27,0,684,635,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,09-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4189848
Real (PMIU Visit),33120254,GPS 434 GB,FAISALABAD,JARANWALA,Primary,Open,No,7,4,4,0,221,207,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,27-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4228899
Real (PMIU Visit),33160266,GGPS 595 GB,FAISALABAD,TANDLIAN WALA,Primary,Open,No,5,2,2,0,106,105,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4194793
Real (PMIU Visit),33130129,GPS 209 GB,FAISALABAD,SAMUNDARI,Primary,Open,No,8,3,3,0,153,150,7,7,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4194836
Real (PMIU Visit),35210591,GGPS SOHARWARDIA,LAHORE,SHALIMAR,Primary,Open,No,4,2,2,0,158,140,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Average,AEO last visited 29-10-2025; building on rent; maintenance/paint required; two classes conducted in open area.,17-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4129169
Real (PMIU Visit),35220159,GES MAZAR BABA REHMAT SHAH (EX-MCL),LAHORE,RAIWIND,Middle,Open,No,18,13,11,2,667,578,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Furniture required/repairs noted; some whitewash and window repair work required.,18-09-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4067971
Real (PMIU Visit),35210798,GGES SHALIMAR TOWN (EX-MCL),LAHORE,SHALIMAR,Middle,Open,No,17,16,4,12,559,66,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,12 PST teachers of primary section were on examinations duty; 493 students were on examinations off.,25-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4259043/list/
Real (PMIU Visit),35210011,GHS KARIM BLOCK ALLAMA IQBAL TOWN,LAHORE,MODEL TOWN,High,Open,No,58,37,32,5,1301,952,46,46,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Official PMIU visit record; AEO visit date 30-10-2025.,17-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4128057
Real (PMIU Visit),35210049,GHS GULBERG LAHORE CANTT (FATEH ABAD),LAHORE,CANTT,High,Open,No,37,25,20,5,874,616,14,8,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,06 of 14 toilets nonfunctional due to outer-side blockage; school ground reported muddy.,16-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4161960
Real (PMIU Visit),35220493,GMMS SODIWAL PIND BAND ROAD LAHORE,LAHORE,CITY,Mosque School,Open,No,3,3,2,1,70,63,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Masjid maktab school; MEA remarked school may be merged with nearby school or a new school established in this area,23-04-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4007670
Real (PMIU Visit),35210020,GHS MUSLIM LAHORE CANTT,LAHORE,CANTT,High,Open,No,40,21,20,1,605,224,13,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Enrollment/present figures in official form only itemised for class 10 (224) despite total enrollment 605 - likely incomplete class-wise reporting on the source form rather than true absenteeism,26-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3979264
Real (PMIU Visit),36430098,GGES 50/15-L MIAN CHANNU,KHANEWAL,MIAN CHANNU,Middle,Open,No,13,8,8,0,480,444,14,14,Yes-Partially,Yes-Wholly,Yes-Wholly,Good,,15-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4158683
Real (PMIU Visit),37330556,GGPS MC MOHRI KAMBAL,RAWALPINDI,RAWALPINDI,Primary,Open,No,4,3,3,0,73,59,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,MEA noted headmistress name inconsistent between PMIU and SIS; NSB record not updated; class 3 roster not updated after promotions,04-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4114495
Real (PMIU Visit),35220032,GHSS MOZANG LAHORE,LAHORE,CITY,H.Sec.,Open,No,43,22,15,7,402,149,15,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Teacher on unauthorized long-term absence since June 2024 with no action taken; security guard falsely marked present; choukidar residing in school with family; 4 of 15 toilets nonfunctional; grades 11-12 had zero students present at visit,27-01-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3900174
Real (PMIU Visit),35220064,GGHS PAK STANDARD SHAD BAGH LAHORE,LAHORE,CITY,High,Open,No,57,46,40,6,2094,349,20,20,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,"Most grades (ECE,prep,1,2,6,7,8,9,10) were on exam duty/off during visit, explaining low headcount; leave-record discrepancy noted for one transferred PST teacher",21-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3971996
Real (PMIU Visit),37330117,GHS KHAYABAN-E-SIR SYED SECTOR 4-B,RAWALPINDI,RAWALPINDI,High,Open,No,30,24,20,4,899,519,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Two PST teachers shown present on attendance register but not reflected in SIS system (one reportedly on dengue duty elsewhere) - register/SIS mismatch flag; NSB record not updated on SIS,27-10-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4108928
Synthetic,99990001,GPS CHAK FAKE-1 (Synthetic Test Case),MULTAN,MULTAN CITY,Primary,Open,Yes,6,1,0,1,180,8,3,0,No,No,No,Poor,SYNTHETIC TEST CASE (not a real school): building reportedly used as private residence; no functional facilities; near-zero attendance despite high paper enrollment,01-01-2026,"Synthetic - for model validation, not a real PMIU record"
Synthetic,99990002,GGPS FAKE VILLAGE-2 (Synthetic Test Case),BAHAWALPUR,BAHAWALPUR SADAR,Primary,Closed,Yes,4,0,0,0,95,0,2,0,No,No,No,Poor,SYNTHETIC TEST CASE (not a real school): school found locked on visit day; no staff present; community reports non-functional for over a year despite active enrollment records,01-01-2026,"Synthetic - for model validation, not a real PMIU record"
Synthetic,99990003,GHS FAKE TOWN-3 (Synthetic Test Case),SAHIWAL,SAHIWAL,High,Open,No,20,18,3,15,850,40,10,2,Yes-Wholly,No,No,Poor,SYNTHETIC TEST CASE (not a real school): high sanctioned/filled teacher count on paper but only 3 physically present; mass unexplained absences; suspected ghost-teacher salary fraud,01-01-2026,"Synthetic - for model validation, not a real PMIU record"
Synthetic,99990004,GGES FAKE COLONY-4 (Synthetic Test Case),SIALKOT,SIALKOT,Middle,Open,Yes,8,6,6,0,220,210,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,"SYNTHETIC EDGE-CASE TEST (not a real school): every attendance/facility metric looks clean, EXCEPT two classrooms are confirmed rented to a private tuition academy. Included to test whether the model catches illegal-occupation fraud that a pure attendance-based score would miss.",01-01-2026,"Synthetic - for model validation, not a real PMIU record"
Synthetic,99990005,GPS FAKE HAMLET-5 (Synthetic Test Case),RAJANPUR,RAJANPUR,Primary,Open,No,3,3,3,0,210,205,1,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,"SYNTHETIC EDGE-CASE TEST (not a real school): enrollment (210) and attendance (205) are implausibly high for a 3-teacher, 1-toilet primary school. Included to test whether the model flags statistically implausible enrollment-to-capacity ratios, since every individual metric looks clean in isolation.",01-01-2026,"Synthetic - for model validation, not a real PMIU record"
Synthetic,99990006,GHSS FAKE JUNCTION-6 (Synthetic Test Case),VEHARI,VEHARI,H.Sec.,Open,No,25,10,2,8,600,55,8,1,No,Yes-Partially,No,Poor,"SYNTHETIC TEST CASE (not a real school): combination of low fill rate, near-total teacher absenteeism, collapsed facilities and single-digit attendance - textbook high-confidence ghost-school profile for model calibration",01-01-2026,"Synthetic - for model validation, not a real PMIU record"
Synthetic,99990007,GES FAKE OUTPOST-7 (Synthetic Test Case),D.G.KHAN,D.G.KHAN,Middle,Open,No,10,9,8,1,300,270,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,SYNTHETIC TRUE-NEGATIVE CONTROL (not a real school): fully clean monitoring record on every metric - included so the model learns to correctly clear well-functioning schools rather than over-flagging,01-01-2026,"Synthetic - for model validation, not a real PMIU record"
Real (Census),31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,High,Non-Functional,No,,,,,,,0,0,No,No,No,,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,High,Non-Functional,No,,,,,,,0,0,No,No,Yes-Wholly,Building Is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31321034,GGHS Chak No 148/5-R,RAHIMYAR KHAN,LIAQATPUR,High,Non-Functional,No,,,,,94,,0,0,No,No,No,,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32110565,GGPS SUMRA GABOOL,D.G. KHAN,D.G.KHAN,Primary,Non-Functional,No,,,,,,,2,2,Yes-Wholly,No,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32320949,GPS CHAK NO. 131 ML,MUZAFFARGARH,KOT ADU,Primary,Non-Functional,No,,,,,,,2,2,Yes-Wholly,No,Yes-Wholly,Satisfying,non_func_reason (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35110333,GGPS ALI PUR CHAK NO 6,KASUR,CHUNIAN,Primary,Non-Functional,No,,,,,,,0,0,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39311057,GPS TAHLI JAMAL HITHAR,OKARA,DEPALPUR,Primary,Non-Functional,No,,,,,,,2,2,Yes-Wholly,No,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32330691,GPS BASTI KANHAL,MUZAFFARGARH,MUZAFFARGARH,Primary,Non-Functional,No,,,,,,,0,0,No,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37130118,GPS SAHWAL (PSSP-II),ATTOCK,PINDI GHEB,Primary,Non-Functional,No,,,,,,,0,0,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34320074,GGHS LANGAY,SIALKOT,PASRUR,High,Functional,Yes,,15,,,289,,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied; dangerous_classrooms (source field): 3,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36130239,GPS RANA WAHIN,MULTAN,MULTAN SADAR,Primary,Functional,Yes,,4,,,221,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33110354,GGHS DECCAN SAMANABAD FSD,FAISALABAD,FAISALABAD CITY,High,Functional,Yes,,32,,,1356,,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37330149,GGHS JHANDA CHICHI,RAWALPINDI,RAWALPINDI,High,Functional,Yes,,31,,,709,,13,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35210693,GGES KACHA,LAHORE,MODEL TOWN,Middle,Functional,Yes,,10,,,544,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39220030,GGHS MC MODEL ARIFWALA,PAKPATTAN,ARIFWALA,High,Functional,Yes,,66,,,3021,,28,28,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,High,Functional,No,,4,,,36,,0,0,No,No,No,Building Is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33140395,GGPS CHAK 269 RB II SALONI,FAISALABAD,FAISALABAD SADDAR,Primary,Functional,No,,4,,,180,,3,1,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32110836,GGCMS FEROZ WALA,D.G. KHAN,D.G.KHAN,Primary,Functional,No,,4,,,199,,5,1,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32410223,GPS THUL SAIDAN,RAJANPUR,JAMPUR,Primary,Functional,No,,1,,,23,,4,2,Yes-Wholly,No,No,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37320082,GPS SOHAWA PHAPHIRAL,RAWALPINDI,MURREE,Primary,Functional,No,,3,,,52,,2,2,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31150222,GGPS DAB WALI,BAHAWALNAGAR,MINCHINABAD,Primary,Functional,No,,4,,,142,,4,3,No,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32330665,GPS CHIMROO WALI,MUZAFFARGARH,MUZAFFARGARH,Primary,Functional,No,,4,,,89,,2,0,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37360182,GPS RAIPA,RAWALPINDI,GUJAR KHAN,Primary,Functional,No,,,,,16,,1,0,Yes-Wholly,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37350011,GHS SURBA,RAWALPINDI,KOTLI SATTIAN,High,Functional,No,,11,,,194,,8,6,No,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37350153,GGPS BADNIAN,RAWALPINDI,KOTLI SATTIAN,Primary,Functional,No,,4,,,45,,1,1,No,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34120519,GMPS JOKHIAN,GUJRANWALA,WAZIRABAD,Primary,Functional,No,,6,,,160,,4,3,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37350096,GPS KHAL CHATTAR,RAWALPINDI,KOTLI SATTIAN,Primary,Functional,No,,4,,,25,,2,2,No,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32120005,GHS BHANBHAN,D.G. KHAN,TAUNSA,High,Functional,No,,19,,,522,,8,4,Yes-Wholly,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 6,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31320001,GHSS FEROZAA,RAHIMYAR KHAN,LIAQATPUR,H.Sec.,Functional,No,,47,,,1416,,8,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 8,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32120041,GGHS KOT MOHEE,D.G. KHAN,TAUNSA,High,Functional,No,,6,,,216,,8,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35210039,GHS IQBAL GARHI SHAHU,LAHORE,SHALIMAR,High,Functional,No,,19,,,729,,7,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 6,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39330054,GHS 7-1R FAUJIAN,OKARA,RENALA KHURD,High,Functional,No,,14,,,342,,6,6,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35220054,GHS SHAHDARA,LAHORE,CITY,High,Functional,No,,42,,,1344,,28,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31240443,GES CHAK NO.10/DRB,BAHAWALPUR,YAZMAN,Middle,Functional,No,,8,,,64,,2,2,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 8,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32340004,GHS JHUGGI WALA,MUZAFFARGARH,JATOI,High,Functional,No,,28,,,841,,12,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 9,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,High,Functional,No,,6,,,87,,1,1,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37320274,GPS CHANGWARIAN,RAWALPINDI,MURREE,Primary,Functional,No,,1,,,33,,3,1,No,No,No,Complete Building Needs Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32420001,GHSS FAZILPUR,RAJANPUR,RAJANPUR,H.Sec.,Functional,No,,49,,,2009,,19,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35210824,GGHS CDG SHADMAN COLONY,LAHORE,CITY,High,Functional,No,,21,,,629,,6,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 6,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35210131,GES BADOKI,LAHORE,MODEL TOWN,Middle,Functional,No,,12,,,401,,6,6,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35220183,GPS JANJATTY,LAHORE,RAIWIND,Primary,Functional,No,,4,,,151,,12,8,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35220056,GGHS JIA BAGGA RAIWIND ROAD,LAHORE,RAIWIND,High,Functional,No,,22,,,865,,9,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 10,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32410563,GGCMES TATAR WALA,RAJANPUR,JAMPUR,Middle,Functional,No,,13,,,183,,7,7,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31210225,GPS CHAK MAKHDOOM,BAHAWALPUR,AHMADPUR EAST,Primary,Functional,No,,4,,,33,,1,1,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39330018,GHS KAMMAN,OKARA,RENALA KHURD,High,Functional,No,,14,,,426,,6,6,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 10,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31210206,GPS CHAK DAWANJ,BAHAWALPUR,AHMADPUR EAST,Primary,Functional,No,,4,,,77,,2,2,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32410242,GPS KHULCHAS,RAJANPUR,JAMPUR,Primary,Functional,No,,1,,,60,,5,0,Yes-Wholly,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
