EMIS_Code,School_Name,Latitude,Longitude,Geocode_Source
99990002,GGPS FAKE VILLAGE-2 (Synthetic Test Case),,,Synthetic (no real location)
99990003,GHS FAKE TOWN-3 (Synthetic Test Case),,,Synthetic (no real location)
99990004,GGES FAKE COLONY-4 (Synthetic Test Case),,,Synthetic (no real location)
99990005,GPS FAKE HAMLET-5 (Synthetic Test Case),,,Synthetic (no real location)
99990006,GHSS FAKE JUNCTION-6 (Synthetic Test Case),,,Synthetic (no real location)
99990007,GES FAKE OUTPOST-7 (Synthetic Test Case),,,Synthetic (no real location)
31321032,GGHS Chak No 225/1-L,,,Not Geocoded (no coordinates available)
31321033,GGHS Chak No 179/7-R,,,Not Geocoded (no coordinates available)
31321034,GGHS Chak No 148/5-R,28.855686,71.016265,Manual (Google Maps)
32110565,GGPS SUMRA GABOOL,,,Not Geocoded (no coordinates available)
32320949,GPS CHAK NO. 131 ML,,,Not Geocoded (no coordinates available)
35110333,GGPS ALI PUR CHAK NO 6,30.9631954,73.9807183,Nominatim-reverse (residential)
39311057,GPS TAHLI JAMAL HITHAR,30.6691771,73.6513733,Nominatim-reverse (tertiary)
32330691,GPS BASTI KANHAL,30.084183,71.1939667,Nominatim-reverse (station)
37130118,GPS SAHWAL (PSSP-II),33.2437103,72.2686198,Nominatim-reverse (tertiary)
34320074,GGHS LANGAY,32.4846576,74.5442398,Nominatim-reverse (primary)
36130239,GPS RANA WAHIN,,,Not Geocoded (no coordinates available)
33110354,GGHS DECCAN SAMANABAD FSD,31.386296,73.0676444,Nominatim-reverse (school)
37330149,GGHS JHANDA CHICHI,33.6040754,73.0483807,Nominatim-reverse (stop)
35210693,GGES KACHA,31.4729999,74.3108542,Nominatim-reverse (tertiary)
39220030,GGHS MC MODEL ARIFWALA,30.2944504,73.0589418,Nominatim-reverse (grave_yard)
31321031,GGHS 158/7-R,,,Not Geocoded (no coordinates available)
33140395,GGPS CHAK 269 RB II SALONI,31.3711401,73.0706582,Nominatim-reverse (fuel)
32110836,GGCMS FEROZ WALA,,,Not Geocoded (no coordinates available)
32410223,GPS THUL SAIDAN,29.6384224,70.5772492,Nominatim-reverse (station)
